"station","total","year"
"Acton Town",6.040516,"2017"
"Aldgate",8.84694,"2017"
"Aldgate East",13.998292,"2017"
"Alperton",3.05223,"2017"
"Amersham",2.321692,"2017"
"Angel",19.198892,"2017"
"Archway",9.276684,"2017"
"Arnos Grove",4.61274,"2017"
"Arsenal",2.822292,"2017"
"Baker Street",28.784591,"2017"
"Balham",14.30941,"2017"
"Bank & Monument",61.796153,"2017"
"Barbican",11.827212,"2017"
"Barking",18.197474,"2017"
"Barkingside",1.620023,"2017"
"Barons Court",7.119692,"2017"
"Bayswater",4.714236,"2017"
"Becontree",3.637924,"2017"
"Belsize Park",6.238483,"2017"
"Bermondsey",10.641495,"2017"
"Bethnal Green",15.573304,"2017"
"Blackfriars",14.825714,"2017"
"Blackhorse Road",8.999728,"2017"
"Bond Street",38.802673,"2017"
"Borough",5.871328,"2017"
"Boston Manor",2.285827,"2017"
"Bounds Green",6.390179,"2017"
"Bow Road",5.657512,"2017"
"Brent Cross",2.524773,"2017"
"Brixton",32.841962,"2017"
"Bromley-by-Bow",3.750698,"2017"
"Buckhurst Hill",2.30455,"2017"
"Burnt Oak",4.488063,"2017"
"Caledonian Road",5.722818,"2017"
"Camden Town",22.505675,"2017"
"Canada Water",15.101314,"2017"
"Canary Wharf",50.913578,"2017"
"Canning Town",13.280181,"2017"
"Cannon Street",9.388205,"2017"
"Canons Park",3.074005,"2017"
"Chalfont & Latimer",1.667683,"2017"
"Chalk Farm",5.891708,"2017"
"Chancery Lane",17.481342,"2017"
"Charing Cross",19.465727,"2017"
"Chesham",1.133596,"2017"
"Chigwell",0.498916,"2017"
"Chiswick Park",2.24649,"2017"
"Chorleywood",0.750026,"2017"
"Clapham Common",10.485149,"2017"
"Clapham North",6.860362,"2017"
"Clapham South",8.64769,"2017"
"Cockfosters",1.934185,"2017"
"Colindale",7.140161,"2017"
"Colliers Wood",6.697001,"2017"
"Covent Garden",17.540949,"2017"
"Croxley",1.129125,"2017"
"Dagenham East",2.996749,"2017"
"Dagenham Heathway",6.079088,"2017"
"Debden",2.46621,"2017"
"Dollis Hill",4.257616,"2017"
"Ealing Broadway",16.794723,"2017"
"Ealing Common",3.193655,"2017"
"Earl's Court",19.990972,"2017"
"East Acton",4.079654,"2017"
"East Finchley",7.312275,"2017"
"East Ham",14.695682,"2017"
"East Putney",6.183244,"2017"
"Eastcote",3.007893,"2017"
"Edgware",5.282356,"2017"
"Edgware Road (Bak)",4.623646,"2017"
"Edgware Road (Cir)",7.148956,"2017"
"Elephant & Castle",22.102168,"2017"
"Elm Park",3.275938,"2017"
"Embankment",22.130101,"2017"
"Epping",3.973043,"2017"
"Euston",43.073653,"2017"
"Euston Square",14.127298,"2017"
"Fairlop",1.240554,"2017"
"Farringdon",20.136285,"2017"
"Finchley Central",7.200996,"2017"
"Finchley Road",9.627914,"2017"
"Finsbury Park",31.224849,"2017"
"Fulham Broadway",9.63034,"2017"
"Gants Hill",6.831034,"2017"
"Gloucester Road",13.836495,"2017"
"Golders Green",8.410556,"2017"
"Goldhawk Road",2.140068,"2017"
"Goodge Street",7.524287,"2017"
"Grange Hill",0.669495,"2017"
"Great Portland Street",8.081276,"2017"
"Green Park",39.338161,"2017"
"Greenford",4.680897,"2017"
"Gunnersbury",5.705314,"2017"
"Hainault",3.803823,"2017"
"Hammersmith (Dis)",29.305709,"2017"
"Hammersmith (H&C)",10.847256,"2017"
"Hampstead",4.833471,"2017"
"Hanger Lane",3.892732,"2017"
"Harlesden",3.203123,"2017"
"Harrow & Wealdstone",4.833762,"2017"
"Harrow-on-the-Hill",10.964049,"2017"
"Hatton Cross",3.207508,"2017"
"Heathrow Terminal 4",2.289531,"2017"
"Heathrow Terminal 5",4.534733,"2017"
"Heathrow Terminals 123",7.813005,"2017"
"Hendon Central",7.804221,"2017"
"High Barnet",4.26394,"2017"
"High Street Kensington",12.762568,"2017"
"Highbury & Islington",20.09182,"2017"
"Highgate",5.873629,"2017"
"Hillingdon",1.81292,"2017"
"Holborn",32.538456,"2017"
"Holland Park",3.633574,"2017"
"Holloway Road",6.786382,"2017"
"Hornchurch",2.240897,"2017"
"Hounslow Central",3.947268,"2017"
"Hounslow East",4.04493,"2017"
"Hounslow West",3.521328,"2017"
"Hyde Park Corner",5.538477,"2017"
"Ickenham",1.174767,"2017"
"Kennington",5.579359,"2017"
"Kensal Green",2.694458,"2017"
"Kensington (Olympia)",2.013231,"2017"
"Kentish Town",8.350575,"2017"
"Kenton",2.06978,"2017"
"Kew Gardens",4.372539,"2017"
"Kilburn",8.622103,"2017"
"Kilburn Park",3.366554,"2017"
"King's Cross St. Pancras",97.918279,"2017"
"Kingsbury",5.222483,"2017"
"Knightsbridge",17.207249,"2017"
"Ladbroke Grove",5.954918,"2017"
"Lambeth North",3.53279,"2017"
"Lancaster Gate",6.243768,"2017"
"Latimer Road",2.461652,"2017"
"Leicester Square",36.730405,"2017"
"Leyton",13.470556,"2017"
"Leytonstone",10.995907,"2017"
"Liverpool Street",67.740193,"2017"
"London Bridge",69.050668,"2017"
"Loughton",3.583861,"2017"
"Maida Vale",3.286879,"2017"
"Manor House",8.688099,"2017"
"Mansion House",6.405554,"2017"
"Marble Arch",14.001823,"2017"
"Marylebone",13.698392,"2017"
"Mile End",15.749656,"2017"
"Mill Hill East",1.384549,"2017"
"Moor Park",0.937946,"2017"
"Moorgate",26.869763,"2017"
"Morden",10.408689,"2017"
"Mornington Crescent",5.083032,"2017"
"Neasden",3.843843,"2017"
"Newbury Park",5.526725,"2017"
"North Acton",6.788624,"2017"
"North Ealing",0.827387,"2017"
"North Greenwich",28.148668,"2017"
"North Harrow",1.922309,"2017"
"North Wembley",1.774038,"2017"
"Northfields",3.988218,"2017"
"Northolt",5.180144,"2017"
"Northwick Park",4.52341,"2017"
"Northwood",3.037028,"2017"
"Northwood Hills",2.013001,"2017"
"Notting Hill Gate",16.342143,"2017"
"Oakwood",2.890857,"2017"
"Old Street",26.382078,"2017"
"Osterley",2.191283,"2017"
"Oval",7.356993,"2017"
"Oxford Circus",84.090585,"2017"
"Paddington",48.82251,"2017"
"Park Royal",2.024318,"2017"
"Parsons Green",6.760726,"2017"
"Perivale",2.511378,"2017"
"Piccadilly Circus",40.820299,"2017"
"Pimlico",10.971039,"2017"
"Pinner",3.425318,"2017"
"Plaistow",6.128691,"2017"
"Preston Road",3.627298,"2017"
"Putney Bridge",5.384507,"2017"
"Queen's Park",5.650175,"2017"
"Queensbury",4.645218,"2017"
"Queensway",8.52397,"2017"
"Ravenscourt Park",3.212253,"2017"
"Rayners Lane",4.32406,"2017"
