"Station","line"
"Acton Town","District"
"Acton Town","Piccadilly"
"Aldgate","Metropolitan"
"Aldgate","Circle"
"Aldgate East","Hammersmith & City"
"Aldgate East","District"
"Alperton","Piccadilly"
"Amersham","Metropolitan"
"Angel","Northern"
"Archway","Northern"
"Arnos Grove","Piccadilly"
"Arsenal","Piccadilly"
"Baker Street","Metropolitan"
"Baker Street","Bakerloo"
"Baker Street","Circle"
"Baker Street","Jubilee"
"Baker Street","Hammersmith & City"
"Balham","Northern"
"Bank","Waterloo & City"
"Bank","Northern"
"Bank","Central"
"Barbican","Metropolitan"
"Barbican","Circle"
"Barbican","Hammersmith & City"
"Barking","District"
"Barking","Hammersmith & City"
"Barkingside","Central"
"Barons Court","District"
"Barons Court","Piccadilly"
"Bayswater","District"
"Bayswater","Circle"
"Becontree","District"
"Belsize Park","Northern"
"Bermondsey","Jubilee"
"Bethnal Green","Central"
"Blackfriars","District"
"Blackfriars","Circle"
"Blackhorse Road","Victoria"
"Bond Street","Central"
"Bond Street","Jubilee"
"Borough","Northern"
"Boston Manor","Piccadilly"
"Bounds Green","Piccadilly"
"Bow Road","District"
"Bow Road","Hammersmith & City"
"Brent Cross","Northern"
"Brixton","Victoria"
"Bromley-by-Bow","District"
"Bromley-by-Bow","Hammersmith & City"
"Buckhurst Hill","Central"
"Burnt Oak","Northern"
"Caledonian Road","Piccadilly"
"Camden Town","Northern"
"Canada Water","Jubilee"
"Canary Wharf","Jubilee"
"Canning Town","Jubilee"
"Cannon Street","District"
"Cannon Street","Circle"
"Canons Park","Jubilee"
"Chalfont & Latimer","Metropolitan"
"Chalk Farm","Northern"
"Chancery Lane","Central"
"Charing Cross","Bakerloo"
"Charing Cross","Northern"
"Chesham","Metropolitan"
"Chigwell","Central"
"Chiswick Park","District"
"Chorleywood","Metropolitan"
"Clapham Common","Northern"
"Clapham North","Northern"
"Clapham South","Northern"
"Cockfosters","Piccadilly"
"Colindale","Northern"
"Colliers Wood","Northern"
"Covent Garden","Piccadilly"
"Croxley","Metropolitan"
"Dagenham East","District"
"Dagenham Heathway","District"
"Debden","Central"
"Dollis Hill","Jubilee"
"Ealing Broadway","District"
"Ealing Broadway","Central"
"Ealing Common","District"
