"Year","Month","date","tube","temperature"
2013,"January",2013-01-01,"Bakerloo",21.7
2013,"February",2013-02-01,"Bakerloo",21.5
2013,"March",2013-03-01,"Bakerloo",21.7
2013,"April",2013-04-01,"Bakerloo",23.4
2013,"May",2013-05-01,"Bakerloo",25.4
2013,"June",2013-06-01,"Bakerloo",27
2013,"July",2013-07-01,"Bakerloo",29.7
2013,"August",2013-08-01,"Bakerloo",29.9
2013,"September",2013-09-01,"Bakerloo",28.9
2013,"October",2013-10-01,"Bakerloo",27.9
2013,"November",2013-11-01,"Bakerloo",25.4
2013,"December",2013-12-01,"Bakerloo",23.9
2014,"January",2014-01-01,"Bakerloo",23.4
2014,"February",2014-02-01,"Bakerloo",22.9
2014,"March",2014-03-01,"Bakerloo",23.9
2014,"April",2014-04-01,"Bakerloo",25.5
2014,"May",2014-05-01,"Bakerloo",26.1
2014,"June",2014-06-01,"Bakerloo",28.3
2014,"July",2014-07-01,"Bakerloo",29.9
2014,"August",2014-08-01,"Bakerloo",29.8
2014,"September",2014-09-01,"Bakerloo",29.3
2014,"October",2014-10-01,"Bakerloo",28.3
2014,"November",2014-11-01,"Bakerloo",26.9
2014,"December",2014-12-01,"Bakerloo",24.5
2015,"January",2015-01-01,"Bakerloo",23.48
2015,"February",2015-02-01,"Bakerloo",22.75
2015,"March",2015-03-01,"Bakerloo",23.76
2015,"April",2015-04-01,"Bakerloo",25.19
2015,"May",2015-05-01,"Bakerloo",26.41
2015,"June",2015-06-01,"Bakerloo",28.17
2015,"July",2015-07-01,"Bakerloo",29.78
2015,"August",2015-08-01,"Bakerloo",29.62
2015,"September",2015-09-01,"Bakerloo",29.36
2015,"October",2015-10-01,"Bakerloo",28.04
2015,"November",2015-11-01,"Bakerloo",26.96
2015,"December",2015-12-01,"Bakerloo",26.17
2016,"January",2016-01-01,"Bakerloo",24.5
2016,"February",2016-02-01,"Bakerloo",23.88
2016,"March",2016-03-01,"Bakerloo",23.71
2016,"April",2016-04-01,"Bakerloo",24.6
2016,"May",2016-05-01,"Bakerloo",26.61
2016,"June",2016-06-01,"Bakerloo",27.99
2016,"July",2016-07-01,"Bakerloo",29.89
2016,"August",2016-08-01,"Bakerloo",31.04
2016,"September",2016-09-01,"Bakerloo",30.91
2016,"October",2016-10-01,"Bakerloo",28.69
2016,"November",2016-11-01,"Bakerloo",26.34
2016,"December",2016-12-01,"Bakerloo",25.3
2017,"January",2017-01-01,"Bakerloo",23.4
2017,"February",2017-02-01,"Bakerloo",24.27
2017,"March",2017-03-01,"Bakerloo",25.66
2017,"April",2017-04-01,"Bakerloo",26.7
2017,"May",2017-05-01,"Bakerloo",27.66
2017,"June",2017-06-01,"Bakerloo",29.99
2017,"July",2017-07-01,"Bakerloo",30.87
2017,"August",2017-08-01,"Bakerloo",30.3
2017,"September",2017-09-01,"Bakerloo",29.42
2017,"October",2017-10-01,"Bakerloo",28.36
2017,"November",2017-11-01,"Bakerloo",26.22
2017,"December",2017-12-01,"Bakerloo",25.04
2018,"January",2018-01-01,"Bakerloo",24.84
2018,"February",2018-02-01,"Bakerloo",23.79
2018,"March",2018-03-01,"Bakerloo",23.43
2018,"April",2018-04-01,"Bakerloo",25.59
2018,"May",2018-05-01,"Bakerloo",NA
2018,"June",2018-06-01,"Bakerloo",NA
2018,"July",2018-07-01,"Bakerloo",NA
2013,"January",2013-01-01,"Central",21
2013,"February",2013-02-01,"Central",21
2013,"March",2013-03-01,"Central",20.9
2013,"April",2013-04-01,"Central",22.8
2013,"May",2013-05-01,"Central",24.7
2013,"June",2013-06-01,"Central",26.7
2013,"July",2013-07-01,"Central",30
2013,"August",2013-08-01,"Central",30
2013,"September",2013-09-01,"Central",28.2
2013,"October",2013-10-01,"Central",27.1
2013,"November",2013-11-01,"Central",24.5
2013,"December",2013-12-01,"Central",23.1
2014,"January",2014-01-01,"Central",22.7
2014,"February",2014-02-01,"Central",22.3
2014,"March",2014-03-01,"Central",23.7
2014,"April",2014-04-01,"Central",25.1
2014,"May",2014-05-01,"Central",26.3
2014,"June",2014-06-01,"Central",28.7
2014,"July",2014-07-01,"Central",30.5
2014,"August",2014-08-01,"Central",29.5
2014,"September",2014-09-01,"Central",29.3
2014,"October",2014-10-01,"Central",27.7
2014,"November",2014-11-01,"Central",25.7
2014,"December",2014-12-01,"Central",23.3
2015,"January",2015-01-01,"Central",22.03
2015,"February",2015-02-01,"Central",21.92
2015,"March",2015-03-01,"Central",23.17
2015,"April",2015-04-01,"Central",25.06
2015,"May",2015-05-01,"Central",26.32
2015,"June",2015-06-01,"Central",28.37
2015,"July",2015-07-01,"Central",29.81
2015,"August",2015-08-01,"Central",29.43
2015,"September",2015-09-01,"Central",27.52
2015,"October",2015-10-01,"Central",26.54
2015,"November",2015-11-01,"Central",25.39
2015,"December",2015-12-01,"Central",24.88
2016,"January",2016-01-01,"Central",23.11
2016,"February",2016-02-01,"Central",22.79
2016,"March",2016-03-01,"Central",22.83
2016,"April",2016-04-01,"Central",24.03
2016,"May",2016-05-01,"Central",26.62
2016,"June",2016-06-01,"Central",27.98
2016,"July",2016-07-01,"Central",29.6
2016,"August",2016-08-01,"Central",30.47
2016,"September",2016-09-01,"Central",30.23
2016,"October",2016-10-01,"Central",27.5
2016,"November",2016-11-01,"Central",24.74
2016,"December",2016-12-01,"Central",23.72
2017,"January",2017-01-01,"Central",21.55
2017,"February",2017-02-01,"Central",22.38
2017,"March",2017-03-01,"Central",24.29
2017,"April",2017-04-01,"Central",25.59
2017,"May",2017-05-01,"Central",26.95
2017,"June",2017-06-01,"Central",29.76
2017,"July",2017-07-01,"Central",30.61
2017,"August",2017-08-01,"Central",30.02
2017,"September",2017-09-01,"Central",28.8
2017,"October",2017-10-01,"Central",27.87
2017,"November",2017-11-01,"Central",25.24
2017,"December",2017-12-01,"Central",23.1
2018,"January",2018-01-01,"Central",22.89
2018,"February",2018-02-01,"Central",21.93
2018,"March",2018-03-01,"Central",22.3
2018,"April",2018-04-01,"Central",24.87
2018,"May",2018-05-01,"Central",24.75
2018,"June",2018-06-01,"Central",NA
2018,"July",2018-07-01,"Central",NA
2013,"January",2013-01-01,"Jubilee",16.4
2013,"February",2013-02-01,"Jubilee",17.9
2013,"March",2013-03-01,"Jubilee",18.2
